413,1/28/00,SEK/USD,8.82
414,1/28/00,LKR/USD,73.05
415,1/28/00,CHF/USD,1.6485
416,1/28/00,TWD/USD,30.75
417,1/28/00,THB/USD,37.65
418,1/31/00,AUD/USD,1.5669
419,1/31/00,EUR/USD,1.0249
420,1/31/00,NZD/USD,2.019
421,1/31/00,GPB/USD,0.618
422,1/31/00,BRL/USD,1.802
423,1/31/00,CAD/USD,1.4517
424,1/31/00,CNY/USD,8.2777
425,1/31/00,HKD/USD,7.781
426,1/31/00,INR/USD,43.65
427,1/31/00,KRW/USD,1124.0
428,1/31/00,MXN/USD,9.64
429,1/31/00,ZAR/USD,6.3125
430,1/31/00,SGD/USD,1.701
431,1/31/00,DKK/USD,7.633
432,1/31/00,JPY/USD,107.33
433,1/31/00,MYR/USD,3.8
434,1/31/00,NOK/USD,8.301
435,1/31/00,SEK/USD,8.815
436,1/31/00,LKR/USD,73.5
437,1/31/00,CHF/USD,1.6495
438,1/31/00,TWD/USD,30.75
439,1/31/00,THB/USD,37.55
440,2/1/00,AUD/USD,1.5835
441,2/1/00,EUR/USD,1.0276
442,2/1/00,NZD/USD,2.0392
443,2/1/00,GPB/USD,0.6192
444,2/1/00,BRL/USD,1.795
445,2/1/00,CAD/USD,1.4468
446,2/1/00,CNY/USD,8.2774
447,2/1/00,HKD/USD,7.7807
448,2/1/00,INR/USD,43.62
449,2/1/00,KRW/USD,1127.0
450,2/1/00,MXN/USD,9.597
451,2/1/00,ZAR/USD,6.28
452,2/1/00,SGD/USD,1.699
453,2/1/00,DKK/USD,7.6445
454,2/1/00,JPY/USD,107.67
455,2/1/00,MYR/USD,3.8
456,2/1/00,NOK/USD,8.277
457,2/1/00,SEK/USD,8.768
458,2/1/00,LKR/USD,73.55
459,2/1/00,CHF/USD,1.654
460,2/1/00,TWD/USD,31.75
461,2/1/00,THB/USD,37.51
462,2/2/00,AUD/USD,1.5723
463,2/2/00,EUR/USD,1.0238
464,2/2/00,NZD/USD,2.0416
465,2/2/00,GPB/USD,0.6227
466,2/2/00,BRL/USD,1.785
467,2/2/00,CAD/USD,1.4435
468,2/2/00,CNY/USD,8.2773
469,2/2/00,HKD/USD,7.7805
470,2/2/00,INR/USD,43.65
471,2/2/00,KRW/USD,1131.0
472,2/2/00,MXN/USD,9.575
473,2/2/00,ZAR/USD,6.2825
474,2/2/00,SGD/USD,1.6985
475,2/2/00,DKK/USD,7.6215
476,2/2/00,JPY/USD,108.4
477,2/2/00,MYR/USD,3.8
478,2/2/00,NOK/USD,8.225
479,2/2/00,SEK/USD,8.708
480,2/2/00,LKR/USD,73.25
481,2/2/00,CHF/USD,1.6502
482,2/2/00,TWD/USD,30.8
483,2/2/00,THB/USD,37.65
484,2/3/00,AUD/USD,1.5657
485,2/3/00,EUR/USD,1.0114
486,2/3/00,NZD/USD,2.0133
487,2/3/00,GPB/USD,0.624
488,2/3/00,BRL/USD,1.775
489,2/3/00,CAD/USD,1.4417
490,2/3/00,CNY/USD,8.2781
491,2/3/00,HKD/USD,7.7812
492,2/3/00,INR/USD,43.65
493,2/3/00,KRW/USD,1130.5
494,2/3/00,MXN/USD,9.51
495,2/3/00,ZAR/USD,6.2575
496,2/3/00,SGD/USD,1.6925
497,2/3/00,DKK/USD,7.52
498,2/3/00,JPY/USD,107.92
499,2/3/00,MYR/USD,3.8
500,2/3/00,NOK/USD,8.158
501,2/3/00,SEK/USD,8.577
502,2/3/00,LKR/USD,73.55
503,2/3/00,CHF/USD,1.6255
504,2/3/00,TWD/USD,30.8
505,2/3/00,THB/USD,37.59
506,2/4/00,AUD/USD,1.5835
507,2/4/00,EUR/USD,1.0246
508,2/4/00,NZD/USD,2.0284
509,2/4/00,GPB/USD,0.6283
510,2/4/00,BRL/USD,1.773
511,2/4/00,CAD/USD,1.4467
512,2/4/00,CNY/USD,8.2788
513,2/4/00,HKD/USD,7.781
514,2/4/00,INR/USD,43.65
515,2/4/00,KRW/USD,1130.0
516,2/4/00,MXN/USD,9.481
517,2/4/00,ZAR/USD,6.286
518,2/4/00,SGD/USD,1.693
519,2/4/00,DKK/USD,7.626
520,2/4/00,JPY/USD,107.54
521,2/4/00,MYR/USD,3.8
522,2/4/00,NOK/USD,8.27
523,2/4/00,SEK/USD,8.663
524,2/4/00,LKR/USD,73.55
525,2/4/00,CHF/USD,1.647
526,2/4/00,TWD/USD,30.8
527,2/4/00,THB/USD,37.55
528,2/7/00,AUD/USD,1.5775
529,2/7/00,EUR/USD,1.0222
530,2/7/00,NZD/USD,2.0259
531,2/7/00,GPB/USD,0.6283
532,2/7/00,BRL/USD,1.77
533,2/7/00,CAD/USD,1.4457
534,2/7/00,CNY/USD,8.2788
535,2/7/00,HKD/USD,7.782
536,2/7/00,INR/USD,43.64
537,2/7/00,KRW/USD,1129.6
538,2/7/00,MXN/USD,9.436
539,2/7/00,ZAR/USD,6.2905
540,2/7/00,SGD/USD,1.6958
541,2/7/00,DKK/USD,7.609
542,2/7/00,JPY/USD,108.75
543,2/7/00,MYR/USD,3.8
544,2/7/00,NOK/USD,8.259
545,2/7/00,SEK/USD,8.66
546,2/7/00,LKR/USD,73.5
547,2/7/00,CHF/USD,1.6426
548,2/7/00,TWD/USD,30.8
549,2/7/00,THB/USD,37.75
550,2/8/00,AUD/USD,1.5741
551,2/8/00,EUR/USD,1.014
552,2/8/00,NZD/USD,2.0243
553,2/8/00,GPB/USD,0.6209
554,2/8/00,BRL/USD,1.765
555,2/8/00,CAD/USD,1.4473
556,2/8/00,CNY/USD,8.2788
557,2/8/00,HKD/USD,7.7809
558,2/8/00,INR/USD,43.63
559,2/8/00,KRW/USD,1129.5
560,2/8/00,MXN/USD,9.402
561,2/8/00,ZAR/USD,6.299
562,2/8/00,SGD/USD,1.6968
563,2/8/00,DKK/USD,7.5455
564,2/8/00,JPY/USD,109.59
565,2/8/00,MYR/USD,3.8
566,2/8/00,NOK/USD,8.1835
567,2/8/00,SEK/USD,8.595
568,2/8/00,LKR/USD,73.6
569,2/8/00,CHF/USD,1.6301
570,2/8/00,TWD/USD,30.75
571,2/8/00,THB/USD,37.64
572,2/9/00,AUD/USD,1.576
573,2/9/00,EUR/USD,1.0087
574,2/9/00,NZD/USD,2.0325
575,2/9/00,GPB/USD,0.6205
576,2/9/00,BRL/USD,1.77
577,2/9/00,CAD/USD,1.4443
578,2/9/00,CNY/USD,8.2788
579,2/9/00,HKD/USD,7.781
580,2/9/00,INR/USD,43.65
581,2/9/00,KRW/USD,1124.0
